Consist,Form,Opponent,Venue,Runs
2.992,0.577,0.834,2.992,3
2.621,0.577,0.834,2.139,2
2.621,0.577,0.913,1.562,1
2.621,0.577,0.834,3.143,3
2.621,0.577,0.968,2.7,1
2.195,0.577,0.968,1.988,1
2.621,0.577,0.968,3.143,3
2.621,0.577,0.834,2.992,3
3.047,0.577,0.968,3.143,4
3.047,0.577,0.834,2.29,2
3.047,0.577,0.968,2.992,2
2.621,0.577,1.047,2.565,2
2.621,0.577,1.047,0.834,1
2.621,0.577,1.047,1.411,1
2.621,0.577,1.047,2.716,2
3.047,0.577,0.834,3.07,5
3.126,0.577,0.913,3.07,5
3.126,0.577,0.913,3.277,5
3.126,0.577,0.834,2.414,2
3.126,0.577,0.913,2.414,2
3.126,0.577,0.913,2.992,4
3.126,0.577,0.968,2.414,2
3.126,0.577,0.968,2.992,5
3.126,0.577,0.913,1.562,1
3.126,0.577,0.913,3.07,5
3.205,0.577,0.991,3.07,1
3.205,0.577,0.834,1.136,1
3.205,0.577,0.834,1.641,2
3.205,0.577,0.913,2.218,1
3.205,0.577,1.047,2.218,2
3.205,0.577,0.913,2.992,2
3.205,0.577,0.913,3.126,5
3.205,0.577,0.913,3.126,5
3.205,0.577,0.991,3.126,2
3.205,0.577,0.991,3.07,3
3.205,0.577,1.047,3.126,3
3.172,0.577,0.968,2.7,3
3.172,0.577,0.935,1.411,1
3.172,0.577,0.935,0.834,1
3.172,0.577,1.014,0.834,1
3.172,0.577,1.014,2.09,1
3.172,2.565,0.968,2.565,2
3.172,2.139,0.968,2.218,2
3.172,1.988,0.968,2.067,1
3.172,1.562,0.968,1.641,1
3.172,2.684,1.014,2.762,5
3.172,2.762,0.834,3.126,2
3.172,2.611,0.913,3.126,2
3.172,3.038,0.834,3.205,3
3.428,2.667,0.913,2.975,1
3.428,2.667,0.834,3.205,1
3.428,2.667,1.014,3.205,1
3.428,2.667,1.014,3.172,2
3.428,2.667,1.014,3.205,4
3.428,2.667,0.913,2.841,2
3.428,2.667,0.913,1.713,1
3.428,2.667,0.913,2.992,3
3.484,2.667,0.968,2.841,2
3.484,2.667,1.047,2.139,1
